Type,Name,Color (red),Color (green),Color (blue)
Group,Transportation,,,
Layer,Network,100,60,220
Layer,Reachability,220,220,60
Layer,Roads Area,135,180,240
Layer,Accidents,135,180,240
Layer,Fasilitas Transportasi,135,180,240
Layer,BRT Stations,200,200,200
Layer,Alternative Route,255,0,255
Layer,East-West Corridor (B),204,0,255
Layer,East-West Corridor,204,0,255
,,,,
Group,Resources,,,
Layer,Solar GHI,80,70,140
Layer,Rainfall,20,70,160
Layer,Water Consumption,20,90,200
Layer,Water Access,20,90,200
Layer,Water from Wells,20,90,200
Layer,Water from Pipes,20,90,200
,,,,
Group,Sumber Daya,,,
Layer,Jaringan Pipa,20,90,200
Layer,Kepadatan Pipa,20,90,200
Layer,Penyediaan Air,20,90,200
Layer,Kapasitas IPA,20,90,200
Layer,Lokasi IPAL,20,90,200
,,,,
Group,Hidrologi,,,
Layer,Produktifitas Air Tanah,20,90,200
Layer,Hidrologi Baru,20,90,200
Layer,Hidrologi,20,90,200
,,,,
Group,Economy,,,
Layer,SME,80,70,140
Layer,GDP,20,160,200
Layer,GDP per Capita,204,0,255
Layer,GDP (GHS),204,0,255
Layer,GDP (HYDE 3.2),204,0,255
Layer,HDI,100,0,255
Layer,Poverty,20,100,130
Layer,Night Light,80,200,255
Layer,Kawasan Khusus,80,200,255
Layer,Household Wealth,20,100,130
,,,,
Group,Ekonomi,,,
Layer,Kawasan Strategis,0,100,110
Layer,Obyek Wisata,0,100,110
Layer,Lokasi Perkantoran,224,150,47
Layer,Lokasi Industri,224,150,47
Layer,Potensi Desa,128,0,250
,,,,
Group,Agriculture Production,,,
Layer,Cropland,40,95,60
Layer,Soil Suitability,170,180,70
Layer,Maize,90,200,70
Layer,Wheat,150,170,20
Layer,Rice,90,200,20
Layer,Field Size,210,200,50
,,,,
Group,Geography,,,
Layer,Green Cover,180,180,120
Layer,Land Cover,180,180,120
Layer,Anthromes,180,180,120
Layer,Continents,180,180,120
Layer,Regions,180,180,120
Layer,Countries,180,180,120
Layer,Leaf Area Index,51,255,0
Layer,River Basins,20,100,130
Layer,Slope,180,180,120
Layer,Peatland Area,180,180,120
Layer,State Forest,180,180,120
Layer,River Buffer,180,180,120
Layer,Topography,180,180,120
Layer,Water Depth,180,180,120
Layer,SKL Kestabilan Lereng,180,180,120
Layer,SKL Kestabilan Pondasi,180,180,120
Layer,SKL Ketersediaan Air,180,180,120
,,,,
Group,Geografi,,,
Layer,Topografi,180,180,120
Layer,Batimetri,80,200,255
Layer,Daerah Aliran Sungai,80,200,255
Layer,Air Tanah,80,200,255
Layer,Tutupan Lahan,180,180,120
Layer,Kemampuan Lahan,180,180,120
Layer,Elevasi,180,180,120
Layer,Kemiringan,180,180,120
Layer,Subsoil,135,110,63
Layer,Topsoil,135,110,63
Layer,Jenis Tanah,135,110,63
,,,,
Group,Iklim,,,
Layer,Curah Hujan,80,200,255
,,,,
Group,Land Use,,,
Layer,Master Plan,210,200,50
Layer,Land Use,210,200,50
Layer,Slum Area,210,200,50
Layer,Urban Area,210,200,50
Layer,Urban Expansion,210,200,50
Layer,Landfill,210,200,50
Layer,Restricted Areas,210,200,50
Layer,RW,210,200,50
Layer,Districts,210,200,50
,,,,
Group,Tata Ruang,,,
Layer,Area Permukiman,210,200,50
Layer,Guna Lahan,153,134,168
Layer,Kecamatan,210,200,50
Layer,Pola Ruang,210,200,50
Layer,RDTR,210,200,50
,,,,
Group,Sanitation & Waste,,,
Layer,Sanitation Taskforce,224,150,47
Layer,Sanitation Taskforce Workers,224,150,47
Layer,Garbage Carts,224,150,47
Layer,Trash Cans,224,150,47
Layer,Waste Collection Centres,224,150,47
Layer,Garbage Trucks,224,150,47
,,,,
